Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards,Fantasy_Reception_Points,Fantasy_RecivingYD_Points,Fantasy_ReceptionTD_Points,Fantasy_Standard_Reciving_Total
c-j-board,2018,JacksonvilleJaguars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-j-board,2019,JacksonvilleJaguars,4,2,31,15.5,23,0,1,50,1,0,2,3.1,0,3.1
c-j-board,2020,NewYorkGiants,14,11,101,9.2,16,0,6,54.55,0,0,11,10.1,0,10.1
david-blough,2019,DetroitLions,5,1,19,19,19,1,1,100,0,0,1,1.9,6,7.9
david-blough,2020,DetroitLions,1,0,0,0,0,0,0,0,0,0,0,0,0,0
khari-blasingame,2019,TennesseeTitans,6,4,54,13.5,24,0,2,50,2,0,4,5.4,0,5.4
khari-blasingame,2020,TennesseeTitans,15,4,39,9.8,16,0,2,50,0,0,4,3.9,0,3.9
christian-blake,2018,AtlantaFalcons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian-blake,2019,AtlantaFalcons,9,11,91,8.3,13,0,5,45.45,0,0,11,9.1,0,9.1
christian-blake,2020,AtlantaFalcons,16,13,141,10.9,25,0,6,46.15,3,0,13,14.1,0,14.1
justin-blackmon,2012,JacksonvilleJaguars,16,64,865,13.5,81,5,41,64.06,9,2,64,86.5,30,116.5
justin-blackmon,2013,JacksonvilleJaguars,4,29,415,14.3,67,1,17,58.62,4,1,29,41.5,6,47.5
justin-blackmon,2018,JacksonvilleJaguars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justin-blackmon,2019,JacksonvilleJaguars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justin-blackmon,2020,JacksonvilleJaguars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
braxton-berrios,2018,NewEnglandPatriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0
braxton-berrios,2019,NewYorkJets,16,6,115,19.2,69,0,3,50,2,1,6,11.5,0,11.5
braxton-berrios,2020,NewYorkJets,16,37,394,10.7,43,3,19,51.35,6,1,37,39.4,18,57.4
giovani-bernard,2013,CincinnatiBengals,16,56,514,9.2,41,3,21,37.5,9,1,56,51.4,18,69.4
giovani-bernard,2014,CincinnatiBengals,13,43,349,8.1,46,2,13,30.23,4,1,43,34.9,12,46.9
giovani-bernard,2015,CincinnatiBengals,16,49,472,9.6,45,0,18,36.73,7,2,49,47.2,0,47.2
