Player_Id,Year,Fumbles,Rushing_Yards,Receiving_Yards,Rushing_TD,Receptions,Recieving_TD,Fantasy_Reception_Points,Fantasy_Rushing_Points,Fantasy_Standard_Reciving_Points,Total_Standard,Total_PPR
antonio-brown,2013,0,13,1499,0,110,8,110,1.3,197.9,199.20000000000002,309.2
antonio-brown,2017,0,5,1533,0,101,9,101,0.5,207.3,207.8,308.8
antonio-brown,2016,0,24,1284,0,106,12,106,2.4,200.4,202.8,308.8
antonio-brown,2013,0,9,1499,0,110,8,110,0.9,197.9,198.8,308.8
antonio-brown,2017,0,4,1533,0,101,9,101,0.4,207.3,207.70000000000002,308.70000000000005
todd-gurley,2018,3,1106,580,10,59,4,59,170.6,82,249.6,308.6
antonio-brown,2013,0,5,1499,0,110,8,110,0.5,197.9,198.4,308.4
alvin-kamara,2020,1,728,756,8,83,5,83,120.8,105.6,225.39999999999998,308.4
antonio-brown,2013,0,4,1499,0,110,8,110,0.4,197.9,198.3,308.3
lesean-mccoy,2010,3,1319,592,5,78,2,78,161.9,71.2,230.10000000000002,308.1
larry-fitzgerald,2005,0,41,1409,0,103,10,103,4.1,200.9,205,308
adrian-peterson,2012,6,1383,217,18,40,1,40,246.3,27.7,268,308
antonio-brown,2016,0,13,1284,0,106,12,106,1.3,200.4,201.70000000000002,307.7
adam-thielen,2018,0,30,1373,0,113,9,113,3,191.3,194.3,307.3
antonio-brown,2016,0,9,1284,0,106,12,106,0.9,200.4,201.3,307.3
antonio-brown,2016,0,5,1284,0,106,12,106,0.5,200.4,200.9,306.9
tyreek-hill,2020,0,23,1276,0,87,15,87,2.3,217.6,219.9,306.9
antonio-brown,2016,0,4,1284,0,106,12,106,0.4,200.4,200.8,306.8
emmanuel-sanders,2014,0,53,1404,1,101,9,101,11.3,194.4,205.70000000000002,306.7
odell-beckham,2014,0,72,1305,1,91,12,91,13.2,202.5,215.7,306.7
adam-thielen,2018,0,15,1373,0,113,9,113,1.5,191.3,192.8,305.8
adam-thielen,2018,0,15,1373,0,113,9,113,1.5,191.3,192.8,305.8
a-j-green,2013,1,2,1426,0,98,11,98,0.2,208.6,207.79999999999998,305.8
josh-gordon,2013,0,1,1646,0,87,9,87,0.1,218.6,218.7,305.7
adam-thielen,2018,0,11,1373,0,113,9,113,1.1,191.3,192.4,305.4
larry-fitzgerald,2005,0,14,1409,0,103,10,103,1.4,200.9,202.3,305.3
lesean-mccoy,2016,1,1607,356,9,50,1,50,214.7,41.6,255.3,305.3
marshawn-lynch,2014,1,1306,367,13,37,4,37,208.6,60.7,268.3,305.3
lesean-mccoy,2015,1,1309,292,17,32,2,32,232.9,41.2,273.1,305.09999999999997
larry-fitzgerald,2007,0,41,1409,0,100,10,100,4.1,200.9,205,305
julio-jones,2014,0,56,1593,0,104,6,104,5.6,195.3,200.9,304.9
randall-cobb,2014,0,132,1287,0,91,12,91,13.2,200.7,213.89999999999998,304.9
allen-robinson,2015,0,9,1400,0,80,14,80,0.9,224,224.9,304.9
frank-gore,2008,5,1695,373,8,43,2,43,217.5,49.3,261.8,304.8
larry-fitzgerald,2005,0,8,1409,0,103,10,103,0.8,200.9,201.70000000000002,304.7
saquon-barkley,2019,0,1307,438,11,52,2,52,196.7,55.8,252.5,304.5
larry-fitzgerald,2005,0,5,1409,0,103,10,103,0.5,200.9,201.4,304.4
allen-robinson,2015,0,2,1400,0,80,14,80,0.2,224,224.2,304.2
marshawn-lynch,2008,4,1590,300,11,47,1,47,225,36,257,304
jimmy-graham,2013,0,3,1215,0,86,16,86,0.3,217.5,217.8,303.8
adrian-peterson,2010,9,1760,341,10,36,1,36,236,40.1,267.1,303.1
travis-kelce,2018,0,4,1336,1,103,10,103,6.4,193.6,200,303
todd-gurley,2016,0,1251,327,17,43,0,43,227.1,32.7,259.8,302.8
dez-bryant,2012,0,5,1382,0,92,12,92,0.5,210.2,210.7,302.7
lesean-mccoy,2009,1,1309,308,17,40,0,40,232.9,30.8,262.7,302.7
ezekiel-elliott,2020,3,1357,338,12,52,2,52,207.7,45.8,250.5,302.5
julio-jones,2014,0,30,1593,0,104,6,104,3,195.3,198.3,302.3
a-j-green,2012,1,53,1350,0,97,11,97,5.3,201,205.3,302.3
larry-fitzgerald,2007,0,14,1409,0,100,10,100,1.4,200.9,202.3,302.3
dez-bryant,2012,0,1,1382,0,92,12,92,0.1,210.2,210.29999999999998,302.29999999999995
frank-gore,2016,5,1695,277,8,38,4,38,217.5,51.7,264.2,302.2
le-veon-bell,2019,0,1361,461,8,66,1,66,184.1,52.1,236.2,302.2
a-j-green,2012,0,38,1350,0,97,11,97,3.8,201,204.8,301.8
larry-fitzgerald,2007,0,8,1409,0,100,10,100,0.8,200.9,201.70000000000002,301.7
larry-fitzgerald,2007,0,5,1409,0,100,10,100,0.5,200.9,201.4,301.4
todd-gurley,2017,2,885,788,6,64,6,64,124.5,114.8,237.3,301.3
odell-beckham,2016,0,35,1367,0,101,10,101,3.5,196.7,200.2,301.2
julio-jones,2014,0,15,1593,0,104,6,104,1.5,195.3,196.8,300.8
adrian-peterson,2020,3,2097,101,12,12,0,12,281.7,10.1,288.8,300.8
marshawn-lynch,2013,4,1590,316,11,36,2,36,225,43.6,264.6,300.6
julio-jones,2014,0,12,1593,0,104,6,104,1.2,195.3,196.5,300.5
alvin-kamara,2017,3,797,826,5,81,5,81,109.7,112.6,219.3,300.29999999999995
julio-jones,2014,0,7,1593,0,104,6,104,0.7,195.3,196,300
emmanuel-sanders,2014,0,44,1404,0,101,9,101,4.4,194.4,198.8,299.8
odell-beckham,2016,0,19,1367,0,101,10,101,1.9,196.7,198.6,299.6
todd-gurley,2017,1,678,788,9,64,6,64,121.8,114.8,235.6,299.6
randall-cobb,2014,0,78,1287,0,91,12,91,7.8,200.7,208.5,299.5
julio-jones,2014,0,1,1593,0,104,6,104,0.1,195.3,195.4,299.4
le-veon-bell,2019,2,1291,461,9,66,1,66,183.1,52.1,233.2,299.2
lesean-mccoy,2011,3,1267,315,13,48,3,48,204.7,49.5,251.2,299.2
odell-beckham,2016,0,10,1367,0,101,10,101,1,196.7,197.7,298.7
odell-beckham,2016,0,9,1367,0,101,10,101,0.9,196.7,197.6,298.6
odell-beckham,2016,0,8,1367,0,101,10,101,0.8,196.7,197.5,298.5
emmanuel-sanders,2014,0,29,1404,0,101,9,101,2.9,194.4,197.3,298.3
